Zoning Case: C14-2019-0056
Meeting Date: 2019-06-06T00:00:00.000
Agenda Item: 90
Source URL: http://austintx.swagit.com/play/45787/0/
================================================================================

[0.64s -> 2.56s]  All right, consent zoning.
[2.56s -> 3.40s]  Thank you, Mayor and Council.
[3.40s -> 5.12s]  Greg Ramsey playing zoning department.
[5.12s -> 6.60s]  These are our two o'clock items,
[6.60s -> 8.64s]  regarding zoning ordinance and restricted covenants.
[8.64s -> 10.64s]  Hearings are closed.
[10.64s -> 12.28s]  Item number 70 is not on your agenda.
[12.28s -> 13.92s]  It's been replaced by item number 105.
[13.92s -> 16.36s]  I'll get to that in a moment.
[16.36s -> 21.36s]  Item number 71 is case NPA 2017 0021.01.
[22.04s -> 24.60s]  This is a staff post-ponement to June 20th.
[25.60s -> 30.36s]  Item number 72 is case NPA 2017 0018.01.
[30.36s -> 34.72s]  This is staff post-ponement to June 20th.
[34.72s -> 39.08s]  Item number 73 is case C14 2019 0053.
[39.08s -> 43.12s]  This is a staff requested post-ponement to June 20th.
[43.12s -> 48.12s]  Item number 74, this case C14 2018 0141.
[48.64s -> 50.00s]  I'm gonna introduce Jerry Rusto,
[50.00s -> 53.28s]  the Assistant Director, he's gonna make a brief statement.
[53.28s -> 56.12s]  Customers on this case, we're ready only for first reading,
[56.12s -> 58.24s]  and I have been in discussions with the applicant,
[58.24s -> 60.12s]  and they are in agreement that they will not request
[60.12s -> 61.44s]  to move forward on second and third reading
[61.44s -> 64.08s]  until they have cleared the pending code violations
[64.08s -> 65.64s]  on the property.
[65.64s -> 66.48s]  Okay, thank you.
[68.16s -> 69.00s]  Let me continue.
[69.00s -> 72.84s]  Item number 75 and 76, we have a speaker
[72.84s -> 75.40s]  on both of item 75 and 76.
[75.40s -> 79.52s]  So those will be discussion as well as 77 and 78.
[80.36s -> 83.20s]  Item number 79 is case C14.
[83.20s -> 86.52s]  Our 87, 087 RCT.
[86.52s -> 89.52s]  This is staff requested post-ponement to 620.
[89.52s -> 94.00s]  Item number 80, this case C14 2019 0072.
[94.00s -> 97.56s]  It's ready for consent approval on all three readings.
[97.56s -> 102.20s]  Item number 81, this is case C14 2019 0060.
[102.20s -> 105.60s]  This is ready for consent approval on all three readings.
[105.64s -> 110.40s]  Item number 82, this case C14 2019 0054.
[110.40s -> 114.72s]  This is a staff requested post-ponement to June 20th,
[114.72s -> 117.36s]  to June 20th, and item number 82.
[117.36s -> 121.60s]  Item number 83, case C14 2019 0041.
[121.60s -> 124.76s]  This is staff post-ponement request to June 20th.
[124.76s -> 126.84s]  Excuse me, Mayor.
[126.84s -> 130.72s]  If I could, Mr. Guernsey, I'm looking at this shade here
[130.72s -> 134.56s]  on item 82, it says post-ponement by staff to August 8th.
[134.56s -> 136.84s]  Yes, on August 8th, we'll be coming back and asking
[136.84s -> 139.56s]  for post-ponement on August 32 and 83.
[139.56s -> 141.92s]  If we do, there's a code requirement
[141.92s -> 144.40s]  that we'd have to provide full re-notification.
[144.40s -> 146.44s]  We can save the record re-notification costs
[146.44s -> 149.68s]  if we post-ponded to 20th and then continue down to the A.
[150.72s -> 153.84s]  Item number 84, we have several speakers.
[153.84s -> 156.72s]  That'll be a discussion item.
[156.72s -> 160.68s]  Item number 85, case C14 2019 0020.
[160.68s -> 163.84s]  Mayor, I understand that the individual that has spoken
[163.88s -> 167.88s]  or signed up to speak to this item is no longer speaking
[167.88s -> 171.24s]  to this item and would be okay with going ahead
[171.24s -> 173.84s]  with three readings today, but I understand
[173.84s -> 176.80s]  I speak council member Kasar may make a comment
[176.80s -> 178.40s]  regarding this case.
[178.40s -> 182.28s]  This is item number 85, case C14 2019 0020.
[182.28s -> 185.08s]  Okay, so we're gonna keep it on consent then, keep going.
[185.08s -> 189.20s]  Okay, item number 86, case C14 2019 0014.
[189.20s -> 192.08s]  This is ready for consent approval in all three readings.
[192.08s -> 196.32s]  Item number 87, this is case C14 2019 0016.
[196.32s -> 198.96s]  This is ready for consent approval in all three readings.
[198.96s -> 203.40s]  Item number 88, this case C14 2019 0008.
[203.40s -> 206.04s]  This is ready for consent approval in all three readings.
[206.04s -> 210.04s]  Item number 89 is case C14 2019 0013.
[210.04s -> 213.32s]  This is ready for consent approval in all three readings.
[213.32s -> 217.88s]  Item number 90, this case C14 2019 0056.
[217.88s -> 220.60s]  As we have an applicant's request for post-ponement
[220.60s -> 232.68s]  this item to your June 20th agenda. Item number 91, this case C14 2019 0050. I understand this is
[232.68s -> 238.36s]  ready for all three readings. I understand there might be a question by council member Tovo regarding
[238.36s -> 245.64s]  this case may be doing for first reading only. Correct. Okay, so the consent. I could keep it on
[245.64s -> 251.96s]  consent with on first reading with a brief request to staff. Anybody have any applicant or
[251.96s -> 259.00s]  person here to speak on it that has an issue with that first reading only? I do have some specific
[259.00s -> 262.12s]  direction for staff though that I would like to read at the right. We'll do that. The consent
[262.12s -> 268.28s]  that we'll have first reading only on this item. Okay, I'm moving on item number 92, this case
[268.28s -> 276.68s]  C14 2018 0146. It's ready for consent approval on all three readings. Item number 93 case C14 2015
[276.68s -> 283.64s]  0062.01. This is a staff requested for indefinite postponement. Renotification will be required
[283.64s -> 293.24s]  before we bring item number 93 back. Item number 94 is case NPA 2018 0021.01. We have an applicant
[293.24s -> 302.04s]  request for postponement to 620 and item number 95. This is case C14 2018 0080 again an applicant
[302.04s -> 309.56s]  request for postponement to 620. Item number 96 we have a speaker signed up so that'll be a
[309.56s -> 316.68s]  discussion item as well as item number 97 and then on the addendum. This is item number 105
[317.56s -> 322.92s]  which replaced item number 70. This is ready for consent approval on second and third readings.
[322.92s -> 331.40s]  That's item number 105 on the addendum. Okay, so the consent agenda is item 70 through 97.
[332.36s -> 343.24s]  Also item 105. The items that I show as being pulled are 84 96 and 97.
[344.28s -> 357.08s]  And 75 76 and maybe you did say 77 78. I did not have missed those. So 75 76 77 and 78. So the
[357.08s -> 370.68s]  items I have pulled are 75 76 77 78 also 84 96 and 97 are the pulled items. Okay, so anyone here to
[370.68s -> 390.44s]  speak on any of those consent items that wishes to speak? Okay, yes. 97 has been pulled. So you
[390.44s -> 403.80s]  don't need to speak yet. We're going to do that in a moment. Okay, so 77 78 84 has been pulled. 85
[408.20s -> 418.60s]  96 97. So is there anyone that signed up for any of the non-pulled items that wishes to speak?
[420.60s -> 425.48s]  Mary said 75 76 were pulled. 75 and 76 were pulled, correct.
[428.04s -> 432.76s]  All right, comments is there a first I'll take a motion then we'll take comments. Is there a motion
[432.76s -> 437.80s]  to approve the consent agenda? Councilor Flanagan makes the motion. Council member Renteria seconds
