Zoning Case: C14-2018-0140
Meeting Date: 2019-06-06T00:00:00.000
Agenda Item: 70
Source URL: http://austintx.swagit.com/play/45787/0/
================================================================================

[0.64s -> 2.56s]  All right, consent zoning.
[2.56s -> 3.40s]  Thank you, Mayor and Council.
[3.40s -> 5.12s]  Greg Ramsey playing zoning department.
[5.12s -> 6.60s]  These are our two o'clock items,
[6.60s -> 8.64s]  regarding zoning ordinance and restricted covenants.
[8.64s -> 10.64s]  Hearings are closed.
[10.64s -> 12.28s]  Item number 70 is not on your agenda.
[12.28s -> 13.92s]  It's been replaced by item number 105.
[13.92s -> 16.36s]  I'll get to that in a moment.
[16.36s -> 21.36s]  Item number 71 is case NPA 2017 0021.01.
[22.04s -> 24.60s]  This is a staff post-ponement to June 20th.
[25.60s -> 30.36s]  Item number 72 is case NPA 2017 0018.01.
[30.36s -> 34.72s]  This is staff post-ponement to June 20th.
[34.72s -> 39.08s]  Item number 73 is case C14 2019 0053.
[39.08s -> 43.12s]  This is a staff requested post-ponement to June 20th.
[43.12s -> 48.12s]  Item number 74, this case C14 2018 0141.
[48.64s -> 50.00s]  I'm gonna introduce Jerry Rusto,
[50.00s -> 53.28s]  the Assistant Director, he's gonna make a brief statement.
[53.28s -> 56.12s]  Customers on this case, we're ready only for first reading
[56.12s -> 58.24s]  and I have been in discussions with the applicant
[58.24s -> 60.12s]  and they are in agreement that they will not request
[60.12s -> 61.44s]  to move forward on second and third reading
[61.44s -> 64.08s]  until they have cleared the pending code violations
[64.08s -> 65.48s]  on the property.
[65.48s -> 66.40s]  Okay, thank you.
[68.16s -> 71.84s]  Let me continue item number 75 and 76.
[71.84s -> 75.40s]  We have a speaker on both of item 75 and 76.
[75.40s -> 79.52s]  So those will be discussion as well as 77 and 78.
[80.40s -> 83.24s]  Item number 79 is case C14.
[83.24s -> 86.56s]  Our 87, 087 RCT.
[86.56s -> 89.56s]  This is staff requested post-ponement to 620.
[89.56s -> 94.04s]  Item number 80, this case C14 2019 0072.
[94.04s -> 97.60s]  It's ready for consent approval on all three readings.
[97.60s -> 102.24s]  Item number 81, this is case C14 2019 0060.
[102.24s -> 105.60s]  This is ready for consent approval on all three readings.
[105.64s -> 110.40s]  Item number 82, this case C14 2019 0054.
[110.40s -> 114.72s]  This is a staff requested post-ponement to June 20th,
[114.72s -> 117.36s]  to June 20th and item number 82.
[117.36s -> 121.60s]  Item number 83, case C14 2019 0041.
[121.60s -> 124.76s]  This is staff post-ponement request to June 20th.
[124.76s -> 127.60s]  Excuse me, Mayor, if I could.
[127.60s -> 132.04s]  Mr. Gernsney, I'm looking at this shade here on item 82.
[132.04s -> 134.56s]  It says post-ponement by staff to August eight.
[134.56s -> 137.56s]  Yes, on August 8th, we'll be coming back and asking for post-ponement on
[137.56s -> 139.64s]  the 32 and 83.
[139.64s -> 144.48s]  If we do, there's a code requirement that we'd have to provide full re-notification.
[144.48s -> 147.84s]  We could save the record re-notification costs if we post-ponemented the 20th and
[147.84s -> 150.76s]  then continue down to the A.
[150.76s -> 153.88s]  Item number 84, we have several speakers.
[153.88s -> 156.72s]  That'll be a discussion item.
[156.72s -> 160.72s]  Item number 85, case C14 2019 0020.
[160.72s -> 164.08s]  Mayor, I understand that the individual that has spoken or
[164.08s -> 168.88s]  signed up to speak to this item is no longer speaking to this item and
[168.88s -> 172.56s]  would be okay with going ahead with three readings today.
[172.56s -> 178.48s]  But I understand last week council member Cassar may make a comment regarding this case.
[178.48s -> 182.32s]  This is item number 85, case C14 2019 0020.
[182.32s -> 185.16s]  As we're going to keep it on consent then keep going.
[185.16s -> 189.24s]  Okay, item number 86, case C14 2019 0014.
[189.24s -> 192.24s]  This is ready for consent approval in all three readings.
[192.24s -> 196.12s]  Item number 87, case C14 2019 0016.
[196.12s -> 199.02s]  This is ready for consent approval in all three readings.
[199.02s -> 206.02s]  this case C 14 2019 0 0 0 8, and this is ready for consent approval and all three readings. Item
[206.02s -> 213.02s]  number 89 is case C 14 2019 0 0 13, this is ready for consent approval and all three readings. Item
[213.02s -> 221.02s]  number 90 is case C 14 2019 0 0 56, as we have an applicant's request for postponement of this item to
[221.02s -> 233.02s]  your June 20th agenda. Item number 91, this case C 14 2019 0 0 50. I understand this is ready for
[233.02s -> 239.02s]  all three readings. I understand there might be a question by council member Tovo regarding this case
[239.02s -> 247.02s]  maybe doing for first reading only. Correct. Okay so the consent. I could keep it on consent with
[247.02s -> 253.02s]  first reading with a brief request to staff. Anybody have any applicant or person here to speak on
[253.02s -> 260.02s]  it that has an issue with that first reading only? I do have some specific direction for staff though
[260.02s -> 264.02s]  that I would like to read at the right. We'll do that. The consent that will have first reading only on
[264.02s -> 272.02s]  this item. Okay, moving on item number 92, this case C 14 2018 0 146 is ready for consent approval and all
[272.02s -> 282.02s]  three readings. Item number 93 case C 14 2015 0 0 62.01, this is a staff requested for indefinite post
[282.02s -> 289.02s]  moment re notification will be required before we bring item number 93 back. Item number 94 is case
[289.02s -> 298.02s]  NPA 2018 0 0 21.01. We have an applicant request for postponement to 620 and item number 95, this is
[298.02s -> 307.02s]  case C 14 2018 0 0 80 again an applicant request for postponement to 620. Item number 96, we have a
[307.02s -> 313.02s]  speaker signed up so that'll be a discussion item as well as item number 97 and then on the
[313.02s -> 321.02s]  addendum, this is item number 105, which replaced item number 70, this is ready for consent approval on second
[321.02s -> 328.02s]  and third readings. It's item number 105 on the addendum. Okay, so the consent agenda is item 70 through
[329.02s -> 351.02s]  97, also item 105. The items that I show is being pulled are 84, 96 and 97. And 75, 76, and maybe you did say 77, 78? I did not
[352.02s -> 367.02s]  I miss those, so 75, 76, 77 and 78. So the items I pulled are 75, 76, 77, 78, also 84, 96 and 97 are the
[367.02s -> 377.02s]  pulled items. Okay, so anyone here to speak on any of those consent items that wishes to speak?
[382.02s -> 394.02s]  Okay, yes, 97 has been pulled, so you don't need to speak yet, we're going to do that in a moment.
[395.02s -> 420.02s]  Okay, so 77, 78, 84 has been pulled, 85, 96, 97. So is there anyone that signed up for any of the non-pulled items that wishes to speak?
[421.02s -> 432.02s]  Mary said 75, 76 were pulled. 75 and 76 were pulled, correct. All right, comments, is there a first I'll take a motion,
[432.02s -> 437.02s]  then we'll take comments. Is there a motion to approve the consent agenda? Councilor Flanagan makes the motion,
[437.02s -> 443.02s]  Council Member Renteria seconds, any comments on the consent agenda? Council Member Gessar?
[444.02s -> 453.02s]  I remember 85, it is one of the cases where we are creating mobile home zoning in order to try to preserve
[453.02s -> 461.02s]  mobile home in RV parks in the community. My understanding from the agent and the owner of this particular
