Zoning Case: C14-2013-0122
Meeting Date: 2013-12-12T00:00:00.000
Agenda Item: 115
Source URL: http://austintx.swagit.com/play/45604/0/
================================================================================

[0.00s -> 2.00s]  Next
[10.04s -> 12.04s]  Thank You Marin Council
[12.04s -> 15.52s]  Greg Guernsey with the planning and development and review department now go through our two
[16.20s -> 20.54s]  PM zoning ordinance and restrict covenants. These are the items where the hearings have been closed
[21.32s -> 23.64s]  On the first item I'd like to offer for consent
[24.28s -> 27.28s]  Is item number 92, this is KC 14
[28.24s -> 32.68s]  2013 0 0 48 for the property located at 37 15 Westlake Drive
[33.12s -> 39.64s]  This is to rezone the property to single family residents standard lot or SF 2 district zoning
[40.84s -> 46.32s]  This is ready for third reading approval on the dais. You have a
[47.32s -> 55.04s]  Revised ordinance that addresses what staff believes the majority of the issues that came up at second reading
[55.72s -> 60.84s]  Staff would ask that one portion of the ordinance be stricken. That's
[61.72s -> 63.72s]  Page two of three
[63.72s -> 66.96s]  Under part three paragraph H
[68.12s -> 69.80s]  this section
[69.80s -> 75.56s]  That's under this ordinance has already been modified in the city code by the same council
[76.60s -> 83.36s]  Several weeks ago, and so that's no longer necessary, but would that one change we could offer this item for consent?
[83.36s -> 90.00s]  I understand there's a council office that would like or council person that would like to speak to item number 93
[90.92s -> 92.92s]  94 and 95 no
[96.56s -> 103.40s]  I just think council member Riley would like to have items number 93 94 and 95 discussed
[104.24s -> 106.24s]  Okay, so we'll build those off again say it
[107.08s -> 112.12s]  Very good. I'm moving on to the 2 p.m. Zoning and neighbor plan amendments. This is a republic hearing is open
[112.12s -> 119.80s]  There's possible action first item I'd offer for consent is item number 96. This is case MPA 2013 0 0 0 8 0 1
[119.88s -> 123.40s]  For the property located at 28 0 4 also with some avenue
[123.40s -> 128.44s]  This is to change the rosewood neighbor plan future land use map to mixed land use
[128.64s -> 133.84s]  The planning commission's recommendation was to grant the mixed land uses and this is ready for consent approval on all three readings
[133.84s -> 138.28s]  I don't number 97 is case c14 2013 0 0 91
[138.84s -> 145.08s]  For the same property at 28 0 4. It's all whistlin Avenue. This is to zone the property general commercial services
[145.48s -> 150.80s]  Mixed use conditional overlay neighbor plan or CS m u c o m p combined district zoning
[150.96s -> 156.60s]  The planning commission's recommendation was to grant the CS m u c o m p combined district zoning
[156.60s -> 159.48s]  And this is ready for consent approval on all three readings
[160.08s -> 169.04s]  I don't number 98 is case MPA 2013 0 0 1 0 0 0 1 for the property located at 24 6 16 e 6 street
[169.36s -> 175.84s]  This is a neighborhood plan amendment in the holly neighborhood area staff is requesting a postponement of this item to your February 13th
[175.84s -> 184.30s]  Agenda item number 99 kc 14 2013 0 0 83 for the property located at 24 16 e 6 street
[184.70s -> 190.58s]  Staff is recommending a postponement of this zoning change to your meeting of February 13th
[191.50s -> 193.18s]  item number
[193.18s -> 196.94s]  MPA 2013 0 0 1 1 1 0 1
[197.50s -> 200.00s]  This is for a property located at 49 14
[200.18s -> 202.18s]  But an avenue in the north loop
[202.46s -> 208.40s]  Neighborhood planning area staff is requesting a postponement of this item to your January 23rd meeting
[208.70s -> 213.00s]  And the related zoning items item number 101 kc 14 2013
[213.84s -> 222.44s]  0021 for the property located at 49 14 Bennett Avenue staff is requesting postponement of this item to your January 23rd agenda
[225.76s -> 230.96s]  Item number 102 and 103 are related these have to do with the paria state
[231.72s -> 237.00s]  Understand mayor. We have a single speaker on this item, but I'll read these into consent
[237.00s -> 243.40s]  So mr. Guernsey in this case what what we'll do is just leave them on the consent agenda and treat it like we do
[244.28s -> 250.84s]  On our consent agenda in the morning will allow the speaker to speak on these items, but we'll leave it on consent
[251.16s -> 259.04s]  Very good item number 102 is MPA 2013 0 0 19.01. This is for the property
[260.12s -> 263.24s]  located at 7 10 east at 41st Street
[263.72s -> 268.16s]  This is a plan amendment item in the central Austin combined neighborhood planning area
[268.80s -> 275.38s]  To designate the use as mixed land use the planning commission's recommendation was to grant the mixed land use
[275.72s -> 282.04s]  This is ready for consent approval on first reading only as requested leave the public hearing open as I understand it
[282.04s -> 289.40s]  Yes, I understand the applicant and the stakeholders neighborhood areas equals and staff would all be in agreement to allow the
[289.60s -> 293.82s]  The public hearing used to remain open and this be continued on to a second another day
[294.36s -> 301.64s]  item number 103 is case 14 2013 0 0 4 0 for the property looking at 7 10 east to 41st Street
[302.16s -> 304.16s]  this is to
[304.16s -> 306.16s]  zone the property to
[308.08s -> 314.56s]  Community commercial mixed-use conditional overlay neighbor plan or gr m u c o m p combined district zoning
[314.56s -> 323.00s]  for tracks one and two and community commercial mixed-use conditional overlay historic landmark neighbor plan or gr m u c o h
[323.00s -> 329.92s]  M p combined mister droning for tract 1 a the plan's commission's recommendation was to grant the gr m u
[330.32s -> 338.68s]  c o m p zoning for tracks one and two and the gr m u c o h m p zoning for tract 1 a
[339.32s -> 345.56s]  Item number 104 this case c14 2013 0 0 70 for the property located
[346.44s -> 349.40s]  78 0 5 and 1 half old manor robe
[350.00s -> 356.80s]  This is to zone the property to family residents or SF 3 district zoning the zoning planning commission's recommendation was to grant
[357.16s -> 359.16s]  single family residents SF 2
[359.88s -> 367.38s]  District zoning with conditions and this is ready for consent approval on all three readings item number 105 case c14 2013
[368.02s -> 373.82s]  0 0 71 this is for the property located at 77 0 1 and 1 half old manor road
[373.82s -> 381.50s]  That is on the property to general commercial services or CS district zoning and multi-family residents medium density or MF3 district zoning
[381.70s -> 389.18s]  The zoning planning commission's recommendation was to grant the community commercial gr district zoning and the multi-family residents load density
[390.42s -> 396.82s]  Overlay our MF 2 co combined zoning with conditions, and this is ready for consent approval on all three readings
[398.34s -> 402.14s]  Item number 106 this case c14 2013
[403.26s -> 406.78s]  0 0 87 for the property located at 14 0 2 West Avenue
[406.90s -> 412.64s]  This is to zone the property to downtown mixed use historic landmark or DMU H
[413.38s -> 420.72s]  Combined district zoning the plan commissioner's recommendation was to grant downtown mixed use historic landmark conditional overlay or DMU H
[420.78s -> 425.66s]  Co combined district zoning I understand that we could probably offer this item for consent and
[426.34s -> 429.22s]  Councilmember Tovo, I believe has some
[429.98s -> 435.82s]  Additional prohibited uses that she would like to offer that the applicant and the adjacent property units are in
[435.82s -> 442.14s]  Let's just go ahead and take it off a consent. That sounds like it would be a lengthy process and we already have other
[442.94s -> 445.90s]  Councilor Tova mirror if I could it's it's an agreed-upon list
[445.90s -> 452.90s]  I think the applicant is in agreement and the neighborhood association is in agreement and perhaps the staff could read it in if that speeds it up
[452.90s -> 457.32s]  Why don't you read it in that one? I don't actually have to list we can get it to you
[464.06s -> 470.30s]  Okay, very quickly the initial list of prohibited uses would include cocktail lamps liquor sales bailbound services
[471.06s -> 472.62s]  pawn shop services
[472.62s -> 478.96s]  drive-through related services auto rental auto repair auto sales auto washing of any type
[479.12s -> 486.72s]  Service station outdoor entertainment group residential and vehicle storage and with that those uses listed as
[487.48s -> 491.96s]  Additional prohibited uses I can offer item number 106 and consent for three readings
[492.72s -> 499.40s]  All right item number 107 case c14 2013 0089 for the proper property located
[500.40s -> 507.04s]  8001 and 81 11 South ice 35 to zone the property to multi-family residents medium density or M F
[507.52s -> 513.16s]  3 district zoning the zoning planning commission recommendation was to grant the MF3 district zoning with conditions
[513.88s -> 521.12s]  And this is ready for consent approval on all three readings. I don't number 108 case c14 2013 0092
[521.68s -> 523.92s]  the property located at 29 15 and
[525.16s -> 527.16s]  3013 e Caesar Chavez
[527.24s -> 529.24s]  this is to
[529.24s -> 534.16s]  Actually, this is a staff postponement of this item to your January 23rd agenda
[537.04s -> 544.92s]  Item number 109. This is case c14 2013 0 1 0 5 for the property located 8601 Tuscany way
[545.24s -> 549.64s]  This is to zone the property to limited industrial services or li district zoning
[550.00s -> 557.50s]  Zoning planning commission's recommendation was to grant limited industrial services conditional overlay or li co combined district zoning
